coef,variable,est_2,est_1,se_2,se_1,first_var,group,model
Intercepts,V217,1.68,1.68,0.019,0.036,v217,mode,metric
Intercepts,V218,2.428,2.595,0.023,0.04,v217,mode,metric
Intercepts,V220,1.771,1.781,0.02,0.037,v217,mode,metric
Intercepts,V133,7.705,7.419,0.072,0.115,v133,len,metric
Intercepts,V135,9.15,9.039,0.059,0.097,v133,len,metric
Intercepts,V136,7.897,7.408,0.07,0.11,v133,len,metric
Intercepts,V138,8.771,8.516,0.065,0.106,v133,len,metric
Intercepts,V141,9.369,9.442,0.059,0.078,v133,len,metric
Intercepts,V133,7.478,7.418,0.074,0.115,v133,mode,metric
Intercepts,V135,9.361,9.038,0.048,0.097,v133,mode,metric
Intercepts,V136,8.134,7.408,0.062,0.11,v133,mode,metric
Intercepts,V138,8.43,8.514,0.07,0.107,v133,mode,metric
Intercepts,V141,9.484,9.442,0.046,0.078,v133,mode,metric
Intercepts,V134,1.756,1.826,0.052,0.081,v134,mode,metric
Intercepts,V137,2.533,2.716,0.075,0.118,v134,mode,metric
Intercepts,V139,5.286,5.657,0.086,0.137,v134,mode,metric
Intercepts,V140,2.655,2.648,0.073,0.106,v134,mode,metric
Intercepts,V199,2.675,2.802,0.033,0.052,v199,mode,metric
Intercepts,V200,3.532,3.517,0.03,0.046,v199,mode,metric
Intercepts,V201,3.654,3.797,0.029,0.044,v199,mode,metric
Intercepts,V202,3.522,3.591,0.032,0.054,v199,mode,metric
Intercepts,V203,3.786,3.863,0.029,0.047,v199,mode,metric
Intercepts,V149,1.889,1.605,0.054,0.063,v149,len,metric
Intercepts,V150,1.734,1.613,0.051,0.077,v149,len,metric
Intercepts,V152,1.502,1.385,0.038,0.051,v149,len,metric
Intercepts,V159,2.245,2.125,0.062,0.089,v149,len,metric
Intercepts,V162,1.545,1.591,0.044,0.077,v149,len,metric
F1.BY,V149,1,1,0,0,v149,mode,config
F1.BY,V150,1.32,0.937,0.238,0.152,v149,mode,config
F1.BY,V152,0.844,1.015,0.172,0.185,v149,mode,config
F1.BY,V159,1.399,1.538,0.204,0.407,v149,mode,config
F1.BY,V162,0.654,1.214,0.161,0.288,v149,mode,config
Intercepts,V151,2.447,2.674,0.066,0.114,v151,mode,metric
Intercepts,V153,7.492,7.536,0.09,0.149,v151,mode,metric
Intercepts,V154,5.632,6.257,0.086,0.137,v151,mode,metric
Intercepts,V155,7.266,7.508,0.081,0.133,v151,mode,metric
Intercepts,V156,6.997,7.582,0.088,0.131,v151,mode,metric
Intercepts,V157,3.842,3.861,0.087,0.143,v151,mode,metric
Intercepts,V158,4.275,4.183,0.091,0.145,v151,mode,metric
Intercepts,V160,4.067,4.02,0.082,0.13,v151,mode,metric
Intercepts,V161,6.874,7.246,0.088,0.134,v151,mode,metric
Intercepts,V163,2.633,3.009,0.077,0.131,v151,mode,metric
Intercepts,V208,2.089,2.007,0.039,0.058,v208,len,metric
Intercepts,V209,2.323,2.338,0.043,0.065,v208,len,metric
Intercepts,V210,2.717,2.731,0.043,0.066,v208,len,metric
Intercepts,V211,3.138,2.848,0.042,0.067,v208,len,metric
F1.BY,V208,1,1,0,0,v208,mode,config
F1.BY,V209,0.764,0.68,0.074,0.093,v208,mode,config
F1.BY,V210,0.878,0.823,0.082,0.104,v208,mode,config
F1.BY,V211,0.07,0.402,0.054,0.088,v208,mode,config
Intercepts,V208,2.155,2.008,0.039,0.058,v208,mode,metric
Intercepts,V209,2.448,2.338,0.043,0.065,v208,mode,metric
Intercepts,V210,2.868,2.732,0.044,0.066,v208,mode,metric
Intercepts,V211,3.561,2.85,0.042,0.067,v208,mode,metric
F1.BY,V103,1,1,0,0,v103,len,config
F1.BY,V104,0.896,0.889,0.148,0.269,v103,len,config
F1.BY,V105,0.822,0.949,0.125,0.3,v103,len,config
F1.BY,V106,-0.689,-0.087,0.157,0.199,v103,len,config
F1.BY,V107,0.87,1.18,0.159,0.269,v103,len,config
Intercepts,V103,5.533,5.447,0.077,0.116,v103,len,metric
Intercepts,V104,4.943,4.623,0.071,0.115,v103,len,metric
Intercepts,V105,3.702,3.624,0.061,0.09,v103,len,metric
Intercepts,V106,5.935,5.759,0.075,0.119,v103,len,metric
Intercepts,V107,5.417,5.435,0.068,0.111,v103,len,metric
Intercepts,V103,4.914,5.448,0.068,0.116,v103,mode,metric
Intercepts,V104,4.779,4.622,0.067,0.115,v103,mode,metric
Intercepts,V105,3.364,3.629,0.059,0.091,v103,mode,metric
Intercepts,V106,5.465,5.764,0.069,0.119,v103,mode,metric
Intercepts,V107,5.199,5.441,0.058,0.111,v103,mode,metric
F1.BY,V82,1,1,0,0,v82,len,config
F1.BY,V83,-1.364,-8.383,0.221,15.354,v82,len,config
F1.BY,V84,-1.098,-2.73,0.152,1.688,v82,len,config
F1.BY,V82,1,1,0,0,v82,mode,config
F1.BY,V83,-2.619,-8.391,0.81,15.465,v82,mode,config
F1.BY,V84,-1.008,-2.729,0.159,1.687,v82,mode,config
Intercepts,V82,2.273,2.438,0.033,0.051,v82,mode,metric
Intercepts,V83,3.451,3.419,0.03,0.042,v82,mode,metric
Intercepts,V84,2.898,3.004,0.03,0.042,v82,mode,metric
Intercepts,V46,2.074,1.968,0.026,0.036,v46,len,metric
Intercepts,V47,2.664,2.567,0.037,0.055,v46,len,metric
Intercepts,V48,2.326,2.302,0.033,0.048,v46,len,metric
Intercepts,V49,1.999,2.083,0.028,0.041,v46,len,metric
Intercepts,V50,3.356,3.229,0.032,0.052,v46,len,metric
Intercepts,V46,2.013,1.968,0.028,0.036,v46,mode,metric
Intercepts,V47,2.738,2.566,0.034,0.055,v46,mode,metric
Intercepts,V48,2.467,2.302,0.031,0.048,v46,mode,metric
Intercepts,V49,2.036,2.084,0.025,0.041,v46,mode,metric
Intercepts,V50,3.23,3.229,0.033,0.052,v46,mode,metric
